Month2,Average Flow (m3/s)
10/1/1975,3240.00
11/1/1975,2270.00
12/1/1975,4050.00
1/1/1976,6890.00
2/1/1976,7580.00
3/1/1976,5100.00
4/1/1976,2830.00
5/1/1976,1300.00
6/1/1976,1860.00
7/1/1976,1900.00
8/1/1976,1120.00
9/1/1976,778.00
10/1/1976,3150.00
11/1/1976,2090.00
12/1/1976,2320.00
1/1/1977,1030.00
2/1/1977,2980.00
3/1/1977,7410.00
4/1/1977,5890.00
5/1/1977,2320.00
6/1/1977,927.00
7/1/1977,1640.00
8/1/1977,2280.00
9/1/1977,1330.00
10/1/1977,2740.00
11/1/1977,3470.00
12/1/1977,7130.00
1/1/1978,5420.00
2/1/1978,3750.00
3/1/1978,8920.00
4/1/1978,5580.00
5/1/1978,6380.00
6/1/1978,2170.00
7/1/1978,1880.00
8/1/1978,1960.00
9/1/1978,1170.00
10/1/1978,1250.00
11/1/1978,1840.00
12/1/1978,9460.00
1/1/1979,9210.00
2/1/1979,5340.00
3/1/1979,9840.00
4/1/1979,7930.00
5/1/1979,4020.00
6/1/1979,3730.00
7/1/1979,2720.00
8/1/1979,3490.00
9/1/1979,5280.00
10/1/1979,4410.00
11/1/1979,4590.00
12/1/1979,5190.00
1/1/1980,4690.00
2/1/1980,2940.00
3/1/1980,7610.00
4/1/1980,7440.00
5/1/1980,3870.00
6/1/1980,3050.00
7/1/1980,2910.00
8/1/1980,4200.00
9/1/1980,1230.00
10/1/1980,818.00
11/1/1980,1550.00
12/1/1980,2070.00
1/1/1981,1150.00
2/1/1981,5890.00
3/1/1981,4470.00
4/1/1981,5580.00
5/1/1981,5190.00
6/1/1981,6670.00
7/1/1981,1850.00
8/1/1981,943.00
9/1/1981,1280.00
10/1/1981,1030.00
11/1/1981,1610.00
12/1/1981,2690.00
1/1/1982,5000.00
2/1/1982,7530.00
3/1/1982,7800.00
4/1/1982,4120.00
5/1/1982,1710.00
6/1/1982,4070.00
7/1/1982,1560.00
8/1/1982,940.00
9/1/1982,970.00
10/1/1982,679.00
11/1/1982,1730.00
12/1/1982,4900.00
1/1/1983,2840.00
2/1/1983,4090.00
3/1/1983,3550.00
4/1/1983,6780.00
5/1/1983,10600.00
6/1/1983,2680.00
7/1/1983,1420.00
8/1/1983,596.00
9/1/1983,423.00
10/1/1983,1600.00
11/1/1983,2890.00
12/1/1983,5630.00
1/1/1984,2500.00
2/1/1984,5080.00
3/1/1984,6810.00
4/1/1984,9050.00
5/1/1984,6830.00
6/1/1984,2470.00
7/1/1984,1790.00
8/1/1984,1540.00
9/1/1984,736.00
10/1/1984,926.00
11/1/1984,3330.00
12/1/1984,5370.00
1/1/1985,3590.00
2/1/1985,5490.00
3/1/1985,6800.00
4/1/1985,4930.00
5/1/1985,2950.00
6/1/1985,2140.00
7/1/1985,1380.00
8/1/1985,890.00
9/1/1985,483.00
10/1/1985,842.00
11/1/1985,6300.00
12/1/1985,6770.00
1/1/1986,2720.00
2/1/1986,8290.00
3/1/1986,5730.00
4/1/1986,2070.00
5/1/1986,1780.00
6/1/1986,1950.00
7/1/1986,2400.00
8/1/1986,647.00
9/1/1986,764.00
10/1/1986,1950.00
11/1/1986,4050.00
12/1/1986,6130.00
1/1/1987,3010.00
2/1/1987,3360.00
3/1/1987,4180.00
4/1/1987,8400.00
5/1/1987,2680.00
6/1/1987,1660.00
7/1/1987,1830.00
8/1/1987,677.00
9/1/1987,1170.00
10/1/1987,809.00
11/1/1987,960.00
12/1/1987,2900.00
1/1/1988,3050.00
2/1/1988,5060.00
3/1/1988,3850.00
4/1/1988,3810.00
5/1/1988,2150.00
6/1/1988,467.00
7/1/1988,531.00
8/1/1988,372.00
9/1/1988,678.00
10/1/1988,551.00
11/1/1988,2610.00
12/1/1988,2590.00
1/1/1989,4980.00
2/1/1989,8710.00
3/1/1989,6950.00
4/1/1989,6920.00
5/1/1989,8410.00
6/1/1989,5750.00
7/1/1989,2810.00
8/1/1989,1790.00
9/1/1989,2360.00
10/1/1989,3230.00
11/1/1989,3160.00
12/1/1989,1530.00
1/1/1990,6060.00
2/1/1990,10100.00
3/1/1990,3940.00
4/1/1990,4880.00
5/1/1990,6040.00
6/1/1990,4640.00
7/1/1990,2970.00
8/1/1990,1480.00
9/1/1990,1910.00
10/1/1990,3640.00
11/1/1990,2450.00
12/1/1990,8230.00
1/1/1991,10400.00
2/1/1991,7520.00
3/1/1991,8150.00
4/1/1991,5750.00
5/1/1991,2240.00
6/1/1991,1150.00
7/1/1991,940.00
8/1/1991,498.00
9/1/1991,502.00
10/1/1991,396.00
11/1/1991,797.00
12/1/1991,4100.00
1/1/1992,3210.00
2/1/1992,2680.00
3/1/1992,5990.00
4/1/1992,4400.00
5/1/1992,2620.00
6/1/1992,2530.00
7/1/1992,2980.00
8/1/1992,2690.00
9/1/1992,1590.00
10/1/1992,1050.00
11/1/1992,2940.00
12/1/1992,3650.00
1/1/1993,5820.00
2/1/1993,4120.00
3/1/1993,9120.00
4/1/1993,7140.00
5/1/1993,2790.00
6/1/1993,2020.00
7/1/1993,1320.00
8/1/1993,750.00
9/1/1993,717.00
10/1/1993,1080.00
11/1/1993,3800.00
12/1/1993,4860.00
1/1/1994,5880.00
2/1/1994,10200.00
3/1/1994,9700.00
4/1/1994,10200.00
5/1/1994,4410.00
6/1/1994,1330.00
7/1/1994,1330.00
8/1/1994,2250.00
9/1/1994,1010.00
10/1/1994,798.00
11/1/1994,1490.00
12/1/1994,3140.00
1/1/1995,5080.00
2/1/1995,4430.00
3/1/1995,4860.00
4/1/1995,2860.00
5/1/1995,7680.00
6/1/1995,2970.00
7/1/1995,1320.00
8/1/1995,1730.00
9/1/1995,529.00
10/1/1995,1100.00
11/1/1995,2360.00
12/1/1995,3130.00
1/1/1996,7520.00
2/1/1996,6490.00
3/1/1996,8220.00
4/1/1996,6060.00
5/1/1996,11800.00
6/1/1996,5620.00
7/1/1996,2370.00
8/1/1996,2110.00
9/1/1996,2390.00
10/1/1996,2600.00
11/1/1996,4320.00
12/1/1996,7090.00
1/1/1997,4260.00
2/1/1997,5760.00
3/1/1997,12600.00
4/1/1997,3470.00
5/1/1997,4180.00
6/1/1997,6340.00
7/1/1997,1530.00
8/1/1997,1320.00
9/1/1997,712.00
10/1/1997,706.00
11/1/1997,2080.00
12/1/1997,2600.00
1/1/1998,5880.00
2/1/1998,6650.00
3/1/1998,6050.00
4/1/1998,7240.00
5/1/1998,6490.00
6/1/1998,5000.00
7/1/1998,3550.00
8/1/1998,1020.00
9/1/1998,557.00
10/1/1998,671.00
11/1/1998,689.00
12/1/1998,1330.00
1/1/1999,6710.00
2/1/1999,4990.00
3/1/1999,6200.00
4/1/1999,3930.00
5/1/1999,2160.00
6/1/1999,752.00
7/1/1999,612.00
8/1/1999,506.00
9/1/1999,329.00
10/1/1999,631.00
11/1/1999,1200.00
12/1/1999,2290.00
1/1/2000,2430.00
2/1/2000,6950.00
3/1/2000,4320.00
4/1/2000,6410.00
5/1/2000,2490.00
6/1/2000,2630.00
7/1/2000,1990.00
8/1/2000,1940.00
9/1/2000,1400.00
10/1/2000,1190.00
11/1/2000,1070.00
12/1/2000,3190.00
1/1/2001,1920.00
2/1/2001,5270.00
3/1/2001,4140.00
4/1/2001,4220.00
5/1/2001,3830.00
6/1/2001,2820.00
7/1/2001,2150.00
8/1/2001,1870.00
9/1/2001,922.00
10/1/2001,1380.00
11/1/2001,1270.00
12/1/2001,3750.00
1/1/2002,2930.00
2/1/2002,3330.00
3/1/2002,6750.00
4/1/2002,7540.00
5/1/2002,10100.00
6/1/2002,3150.00
7/1/2002,1190.00
8/1/2002,584.00
9/1/2002,804.00
10/1/2002,1540.00
11/1/2002,3750.00
12/1/2002,4540.00
1/1/2003,3810.00
2/1/2003,7020.00
3/1/2003,7190.00
4/1/2003,5110.00
5/1/2003,7030.00
6/1/2003,6570.00
7/1/2003,3550.00
8/1/2003,3250.00
9/1/2003,4240.00
10/1/2003,2550.00
11/1/2003,6850.00
12/1/2003,6620.00
1/1/2004,8080.00
2/1/2004,6540.00
3/1/2004,6410.00
4/1/2004,7580.00
5/1/2004,5910.00
6/1/2004,6760.00
7/1/2004,2170.00
8/1/2004,2370.00
9/1/2004,5930.00
10/1/2004,2840.00
11/1/2004,4690.00
12/1/2004,6800.00
1/1/2005,11700.00
2/1/2005,6000.00
3/1/2005,5810.00
4/1/2005,7220.00
5/1/2005,4060.00
6/1/2005,1230.00
7/1/2005,1230.00
8/1/2005,881.00
9/1/2005,936.00
10/1/2005,1050.00
11/1/2005,2160.00
12/1/2005,3010.00
1/1/2006,6230.00
2/1/2006,3730.00
3/1/2006,4550.00
4/1/2006,4790.00
5/1/2006,2860.00
6/1/2006,2370.00
7/1/2006,2850.00
8/1/2006,1060.00
9/1/2006,2980.00
10/1/2006,5020.00
11/1/2006,5750.00
12/1/2006,3540.00
1/1/2007,8490.00
2/1/2007,3770.00
3/1/2007,9570.00
4/1/2007,6660.00
5/1/2007,2280.00
6/1/2007,757.00
7/1/2007,772.00
8/1/2007,1110.00
9/1/2007,497.00
10/1/2007,1000.00
11/1/2007,1520.00
12/1/2007,7180.00
1/1/2008,4560.00
2/1/2008,8620.00
3/1/2008,12600.00
4/1/2008,6850.00
5/1/2008,5900.00
6/1/2008,3480.00
7/1/2008,2090.00
8/1/2008,670.00
9/1/2008,510.00
10/1/2008,461.00
11/1/2008,771.00
12/1/2008,4120.00
1/1/2009,4310.00
2/1/2009,5740.00
3/1/2009,3930.00
4/1/2009,5630.00
5/1/2009,5820.00
6/1/2009,3610.00
7/1/2009,1400.00
8/1/2009,2590.00
9/1/2009,1290.00
10/1/2009,2430.00
11/1/2009,2130.00
12/1/2009,4760.00
1/1/2010,5250.00
2/1/2010,5230.00
