Month2,Average Flow (m3/s)
10/1/1974,705.00
11/1/1974,967.00
12/1/1974,634.00
1/1/1975,587.00
2/1/1975,651.00
3/1/1975,1380.00
4/1/1975,2040.00
5/1/1975,4220.00
6/1/1975,1940.00
7/1/1975,1940.00
8/1/1975,918.00
9/1/1975,981.00
10/1/1975,748.00
11/1/1975,1150.00
12/1/1975,1030.00
1/1/1976,718.00
2/1/1976,1040.00
3/1/1976,1830.00
4/1/1976,3360.00
5/1/1976,1420.00
6/1/1976,726.00
7/1/1976,561.00
8/1/1976,486.00
9/1/1976,451.00
10/1/1976,452.00
11/1/1976,417.00
12/1/1976,318.00
1/1/1977,330.00
2/1/1977,543.00
3/1/1977,981.00
4/1/1977,1070.00
5/1/1977,657.00
6/1/1977,644.00
7/1/1977,695.00
8/1/1977,435.00
9/1/1977,883.00
10/1/1977,1370.00
11/1/1977,1110.00
12/1/1977,904.00
1/1/1978,841.00
2/1/1978,604.00
3/1/1978,855.00
4/1/1978,2680.00
5/1/1978,1690.00
6/1/1978,1720.00
7/1/1978,2580.00
8/1/1978,1200.00
9/1/1978,1700.00
10/1/1978,1080.00
11/1/1978,910.00
12/1/1978,593.00
1/1/1979,502.00
2/1/1979,546.00
3/1/1979,1710.00
4/1/1979,3900.00
5/1/1979,3740.00
6/1/1979,2250.00
7/1/1979,1830.00
8/1/1979,1670.00
9/1/1979,1470.00
10/1/1979,916.00
11/1/1979,1430.00
12/1/1979,919.00
1/1/1980,809.00
2/1/1980,669.00
3/1/1980,1270.00
4/1/1980,2090.00
5/1/1980,885.00
6/1/1980,1750.00
7/1/1980,691.00
8/1/1980,1130.00
9/1/1980,2050.00
10/1/1980,1360.00
11/1/1980,1030.00
12/1/1980,687.00
1/1/1981,579.00
2/1/1981,898.00
3/1/1981,1150.00
4/1/1981,1820.00
5/1/1981,1670.00
6/1/1981,1410.00
7/1/1981,1590.00
8/1/1981,1320.00
9/1/1981,1340.00
10/1/1981,1330.00
11/1/1981,1180.00
12/1/1981,750.00
1/1/1982,579.00
2/1/1982,649.00
3/1/1982,1540.00
4/1/1982,3600.00
5/1/1982,3160.00
6/1/1982,1810.00
7/1/1982,1190.00
8/1/1982,842.00
9/1/1982,1110.00
10/1/1982,1750.00
11/1/1982,2210.00
12/1/1982,1750.00
1/1/1983,1290.00
2/1/1983,1340.00
3/1/1983,3430.00
4/1/1983,3170.00
5/1/1983,2840.00
6/1/1983,1650.00
7/1/1983,2060.00
8/1/1983,1060.00
9/1/1983,1270.00
10/1/1983,1500.00
11/1/1983,1500.00
12/1/1983,1370.00
1/1/1984,1030.00
2/1/1984,1520.00
3/1/1984,1950.00
4/1/1984,2710.00
5/1/1984,3140.00
6/1/1984,2550.00
7/1/1984,2470.00
8/1/1984,983.00
9/1/1984,899.00
10/1/1984,1450.00
11/1/1984,1940.00
12/1/1984,1120.00
1/1/1985,1070.00
2/1/1985,1150.00
3/1/1985,2380.00
4/1/1985,3150.00
5/1/1985,2450.00
6/1/1985,1490.00
7/1/1985,1280.00
8/1/1985,1030.00
9/1/1985,1510.00
10/1/1985,2540.00
11/1/1985,1820.00
12/1/1985,1070.00
1/1/1986,1010.00
2/1/1986,912.00
3/1/1986,1850.00
4/1/1986,4320.00
5/1/1986,3630.00
6/1/1986,2020.00
7/1/1986,1970.00
8/1/1986,1740.00
9/1/1986,2110.00
10/1/1986,4230.00
11/1/1986,1860.00
12/1/1986,1450.00
1/1/1987,1220.00
2/1/1987,1110.00
3/1/1987,1380.00
4/1/1987,1560.00
5/1/1987,1110.00
6/1/1987,1080.00
7/1/1987,846.00
8/1/1987,1040.00
9/1/1987,807.00
10/1/1987,629.00
11/1/1987,815.00
12/1/1987,859.00
1/1/1988,665.00
2/1/1988,742.00
3/1/1988,1280.00
4/1/1988,1550.00
5/1/1988,962.00
6/1/1988,437.00
7/1/1988,416.00
8/1/1988,429.00
9/1/1988,564.00
10/1/1988,620.00
11/1/1988,752.00
12/1/1988,624.00
1/1/1989,636.00
2/1/1989,677.00
3/1/1989,1140.00
