Month2,Average Flow (m3/s)
10/1/1974,1130.00
11/1/1974,2010.00
12/1/1974,1780.00
1/1/1975,2240.00
2/1/1975,2790.00
3/1/1975,4430.00
4/1/1975,6160.00
5/1/1975,7540.00
6/1/1975,4510.00
7/1/1975,3740.00
8/1/1975,1510.00
9/1/1975,1830.00
10/1/1975,1150.00
11/1/1975,1540.00
12/1/1975,2280.00
1/1/1976,1300.00
2/1/1976,2390.00
3/1/1976,5280.00
4/1/1976,5770.00
5/1/1976,4950.00
6/1/1976,1980.00
7/1/1976,1330.00
8/1/1976,789.00
9/1/1976,605.00
10/1/1976,626.00
11/1/1976,652.00
12/1/1976,669.00
1/1/1977,678.00
2/1/1977,1050.00
3/1/1977,2010.00
4/1/1977,2070.00
5/1/1977,2040.00
6/1/1977,987.00
7/1/1977,1100.00
8/1/1977,1630.00
9/1/1977,2860.00
10/1/1977,3630.00
11/1/1977,3100.00
12/1/1977,2280.00
1/1/1978,1950.00
2/1/1978,1310.00
3/1/1978,3940.00
4/1/1978,6960.00
5/1/1978,5950.00
6/1/1978,3630.00
7/1/1978,5440.00
8/1/1978,2320.00
9/1/1978,2790.00
10/1/1978,1900.00
11/1/1978,1600.00
12/1/1978,1470.00
1/1/1979,1140.00
2/1/1979,1520.00
3/1/1979,6740.00
4/1/1979,10800.00
5/1/1979,8190.00
6/1/1979,3990.00
7/1/1979,3120.00
8/1/1979,3390.00
9/1/1979,2890.00
10/1/1979,1440.00
11/1/1979,2320.00
12/1/1979,1910.00
1/1/1980,1740.00
2/1/1980,1670.00
3/1/1980,2970.00
4/1/1980,4340.00
5/1/1980,2090.00
6/1/1980,4710.00
7/1/1980,1650.00
8/1/1980,2490.00
9/1/1980,3850.00
10/1/1980,2460.00
11/1/1980,1660.00
12/1/1980,1700.00
1/1/1981,1200.00
2/1/1981,1820.00
3/1/1981,2320.00
4/1/1981,3670.00
5/1/1981,4880.00
6/1/1981,4100.00
7/1/1981,5880.00
8/1/1981,4120.00
9/1/1981,2990.00
10/1/1981,2710.00
11/1/1981,2370.00
12/1/1981,1940.00
1/1/1982,1590.00
2/1/1982,3860.00
3/1/1982,7270.00
4/1/1982,8080.00
5/1/1982,6330.00
6/1/1982,5310.00
7/1/1982,5350.00
8/1/1982,2720.00
9/1/1982,2570.00
10/1/1982,2710.00
11/1/1982,4460.00
12/1/1982,7970.00
1/1/1983,3850.00
2/1/1983,3720.00
3/1/1983,6490.00
4/1/1983,9870.00
5/1/1983,8110.00
6/1/1983,4690.00
7/1/1983,4620.00
8/1/1983,2340.00
9/1/1983,1860.00
10/1/1983,2350.00
11/1/1983,3310.00
12/1/1983,3550.00
1/1/1984,2250.00
2/1/1984,4280.00
3/1/1984,5760.00
4/1/1984,7130.00
5/1/1984,7100.00
6/1/1984,6290.00
7/1/1984,5620.00
8/1/1984,2100.00
9/1/1984,1470.00
10/1/1984,2150.00
11/1/1984,3970.00
12/1/1984,2570.00
1/1/1985,2730.00
2/1/1985,3230.00
3/1/1985,8680.00
4/1/1985,6250.00
5/1/1985,4020.00
6/1/1985,2440.00
7/1/1985,1820.00
8/1/1985,1980.00
9/1/1985,2070.00
10/1/1985,4090.00
11/1/1985,5620.00
12/1/1985,4300.00
1/1/1986,2260.00
2/1/1986,3110.00
3/1/1986,5020.00
4/1/1986,6660.00
5/1/1986,6720.00
6/1/1986,5420.00
7/1/1986,5070.00
8/1/1986,3200.00
9/1/1986,3330.00
10/1/1986,9480.00
11/1/1986,4850.00
12/1/1986,3680.00
1/1/1987,2540.00
2/1/1987,2620.00
3/1/1987,3070.00
4/1/1987,3920.00
5/1/1987,2560.00
6/1/1987,2460.00
7/1/1987,2030.00
8/1/1987,2350.00
9/1/1987,2210.00
