Month2,Average Flow (m3/s)
10/1/1962,2690.00
11/1/1962,4900.00
12/1/1962,4230.00
1/1/1963,5520.00
2/1/1963,5550.00
3/1/1963,23300.00
4/1/1963,10500.00
5/1/1963,5440.00
6/1/1963,4020.00
7/1/1963,2970.00
8/1/1963,2620.00 
9/1/1963,1990.00
10/1/1963,1530.00
11/1/1963,1840.00
12/1/1963,2510.00
1/1/1964,5220.00
2/1/1964,6030.00
3/1/1964,22900.00
4/1/1964,15700.00
5/1/1964,8680.00
6/1/1964,3390.00
7/1/1964,2660.00
8/1/1964,2370.00
9/1/1964,1750.00
10/1/1964,2790.00
11/1/1964,3000.00
12/1/1964,8420.00
1/1/1965,10600.00
2/1/1965,12400.00
3/1/1965,13300.00
4/1/1965,17500.00
5/1/1965,5990.00
6/1/1965,3230.00
7/1/1965,3080.00
8/1/1965,2090.00
9/1/1965,2810.00
10/1/1965,2590.00
11/1/1965,2700.00
12/1/1965,2670.00
1/1/1966,6280.00
2/1/1966,11500.00
3/1/1966,6710.00
4/1/1966,5700.00
5/1/1966,12600.00
6/1/1966,2540.00
7/1/1966,2210.00
8/1/1966,2690.00
9/1/1966,2380.00
10/1/1966,2780.00
11/1/1966,4300.00
12/1/1966,10300.00
1/1/1967,5810.00
2/1/1967,7730.00
3/1/1967,17200.00
4/1/1967,7710.00
5/1/1967,15800.00
6/1/1967,4220.00
7/1/1967,5670.00
8/1/1967,4350.00
9/1/1967,2880.00
10/1/1967,3230.00
11/1/1967,4470.00
12/1/1967,13600.00
1/1/1968,11200.00
2/1/1968,10300.00
3/1/1968,10300.00
4/1/1968,13400.00
5/1/1968,8800.00
6/1/1968,11200.00
7/1/1968,3180.00
8/1/1968,3950.00
9/1/1968,1730.00
10/1/1968,2100.00
11/1/1968,3290.00
12/1/1968,5480.00
1/1/1969,8590.00
2/1/1969,16600.00
3/1/1969,5270.00
4/1/1969,11200.00
5/1/1969,6610.00
6/1/1969,3990.00
7/1/1969,4760.00
8/1/1969,3570.00
9/1/1969,2170.00
10/1/1969,2490.00
11/1/1969,4000.00
12/1/1969,5410.00
1/1/1970,9880.00
2/1/1970,13400.00
3/1/1970,10200.00
4/1/1970,14900.00
5/1/1970,12600.00
6/1/1970,4860.00
7/1/1970,3410.00
8/1/1970,3360.00
9/1/1970,2770.00
10/1/1970,3300.00
11/1/1970,5940.00
12/1/1970,7550.00
1/1/1971,9960.00
2/1/1971,14600.00
3/1/1971,15600.00
4/1/1971,5240.00
5/1/1971,9090.00
6/1/1971,4360.00
7/1/1971,3790.00
8/1/1971,4600.00
9/1/1971,4200.00
10/1/1971,3190.00
11/1/1971,3210.00
12/1/1971,7780.00
1/1/1972,13000.00
2/1/1972,11000.00
3/1/1972,17200.00
4/1/1972,15400.00
5/1/1972,12000.00
6/1/1972,4580.00
7/1/1972,6800.00
8/1/1972,4210.00
9/1/1972,2770.00
10/1/1972,4780.00
11/1/1972,10400.00
12/1/1972,20300.00
1/1/1973,13000.00
2/1/1973,13400.00
3/1/1973,17600.00
4/1/1973,19300.00
5/1/1973,16200.00
6/1/1973,11600.00
7/1/1973,6530.00
8/1/1973,4510.00
9/1/1973,2570.00
10/1/1973,2690.00
11/1/1973,5620.00
12/1/1973,13500.00
1/1/1974,24700.00
2/1/1974,18500.00
3/1/1974,14500.00
4/1/1974,13900.00
5/1/1974,8020.00
6/1/1974,11200.00
7/1/1974,4190.00
8/1/1974,3760.00
9/1/1974,6860.00
10/1/1974,3920.00
11/1/1974,5820.00
12/1/1974,10300.00
1/1/1975,16900.00
2/1/1975,18800.00
3/1/1975,26300.00
4/1/1975,20100.00
5/1/1975,13100.00
6/1/1975,6530.00
7/1/1975,3800.00
8/1/1975,3410.00
9/1/1975,4970.00
10/1/1975,7870.00
11/1/1975,6070.00
12/1/1975,8780.00
1/1/1976,15100.00
2/1/1976,14700.00
3/1/1976,12300.00
4/1/1976,7090.00
5/1/1976,3580.00
6/1/1976,5450.00
7/1/1976,5430.00
8/1/1976,3470.00
9/1/1976,2490.00
10/1/1976,5230.00
11/1/1976,4590.00
12/1/1976,5180.00
1/1/1977,4760.00
2/1/1977,5000.00
3/1/1977,16300.00
4/1/1977,13800.00
5/1/1977,6120.00
6/1/1977,2920.00
7/1/1977,3940.00
8/1/1977,4700.00
9/1/1977,4660.00
10/1/1977,6690.00
11/1/1977,9250.00
12/1/1977,17900.00
1/1/1978,12100.00
2/1/1978,10000.00
3/1/1978,16400.00
4/1/1978,11800.00
5/1/1978,13700.00
6/1/1978,4920.00
7/1/1978,4420.00
8/1/1978,4410.00
9/1/1978,3360.00
10/1/1978,2570.00
11/1/1978,3630.00
12/1/1978,18500.00
1/1/1979,20900.00
2/1/1979,11700.00
3/1/1979,25100.00
4/1/1979,22200.00
5/1/1979,9890.00
6/1/1979,7860.00
7/1/1979,6210.00
8/1/1979,8790.00
9/1/1979,10900.00
10/1/1979,9500.00
11/1/1979,11100.00
12/1/1979,13900.00
1/1/1980,11800.00
2/1/1980,7120.00
3/1/1980,18100.00
4/1/1980,18900.00
5/1/1980,8260.00
6/1/1980,6120.00
7/1/1980,5770.00
8/1/1980,6470.00
9/1/1980,2780.00
10/1/1980,2170.00
11/1/1980,3320.00
12/1/1980,3790.00
1/1/1981,2550.00
2/1/1981,9110.00
3/1/1981,7190.00
4/1/1981,8510.00
5/1/1981,9590.00
6/1/1981,13500.00
7/1/1981,4800.00
8/1/1981,3150.00
9/1/1981,3520.00
10/1/1981,2780.00
11/1/1981,3400.00
12/1/1981,6170.00
1/1/1982,14200.00
2/1/1982,20000.00
3/1/1982,17300.00
4/1/1982,10800.00
5/1/1982,4500.00
6/1/1982,7280.00
7/1/1982,4260.00
8/1/1982,3700.00
9/1/1982,4260.00
10/1/1982,2660.00
11/1/1982,4200.00
12/1/1982,15000.00
1/1/1983,11000.00
2/1/1983,10100.00
3/1/1983,7850.00
4/1/1983,17100.00
5/1/1983,26000.00
6/1/1983,10100.00
