Month2,Average Flow (m3/s)
10/1/1972,1930.00
11/1/1972,3790.00
12/1/1972,1880.00
1/1/1973,3650.00
2/1/1973,3830.00
3/1/1973,7580.00
4/1/1973,9440.00
5/1/1973,5440.00
6/1/1973,3210.00
7/1/1973,2610.00
8/1/1973,2060.00
9/1/1973,2390.00
10/1/1973,6280.00
11/1/1973,3610.00
12/1/1973,3610.00
1/1/1974,3250.00
2/1/1974,3270.00
3/1/1974,3660.00
4/1/1974,2460.00
5/1/1974,4070.00
6/1/1974,3760.00
7/1/1974,1580.00
8/1/1974,1520.00
9/1/1974,1820.00
10/1/1974,1460.00
11/1/1974,2960.00
12/1/1974,1550.00
1/1/1975,1670.00
2/1/1975,2920.00
3/1/1975,3070.00
4/1/1975,3510.00
5/1/1975,2500.00
6/1/1975,3190.00
7/1/1975,2340.00
8/1/1975,2290.00
9/1/1975,2630.00
10/1/1975,2250.00
11/1/1975,2310.00
12/1/1975,1950.00
1/1/1976,1140.00
2/1/1976,1400.00
3/1/1976,2280.00
4/1/1976,2860.00
5/1/1976,2940.00
6/1/1976,1980.00
7/1/1976,1680.00
8/1/1976,1340.00
9/1/1976,1240.00
10/1/1976,1360.00
11/1/1976,1290.00
12/1/1976,1020.00
1/1/1977,610.00
2/1/1977,967.00
3/1/1977,1210.00
4/1/1977,1430.00
5/1/1977,1520.00
6/1/1977,2360.00
7/1/1977,2180.00
8/1/1977,1660.00
9/1/1977,3640.00
10/1/1977,2640.00
11/1/1977,3540.00
12/1/1977,1340.00
1/1/1978,930.00
2/1/1978,756.00
3/1/1978,4810.00
4/1/1978,4900.00
5/1/1978,4120.00
6/1/1978,2510.00
7/1/1978,2580.00
8/1/1978,2260.00
9/1/1978,2520.00
10/1/1978,1920.00
11/1/1978,2200.00
12/1/1978,1530.00
1/1/1979,917.00
2/1/1979,1910.00
3/1/1979,5460.00
4/1/1979,4490.00
5/1/1979,3300.00
6/1/1979,2670.00
7/1/1979,2810.00
8/1/1979,1990.00
9/1/1979,1790.00
10/1/1979,1440.00
11/1/1979,2010.00
12/1/1979,1560.00
1/1/1980,1180.00
2/1/1980,1400.00
3/1/1980,2080.00
4/1/1980,3520.00
5/1/1980,1670.00
6/1/1980,2360.00
7/1/1980,1380.00
8/1/1980,1410.00
9/1/1980,1440.00
10/1/1980,1280.00
11/1/1980,1330.00
12/1/1980,1150.00
1/1/1981,743.00
2/1/1981,850.00
3/1/1981,875.00
4/1/1981,1460.00
5/1/1981,2760.00
6/1/1981,3340.00
7/1/1981,4340.00
8/1/1981,2540.00
9/1/1981,1550.00
10/1/1981,1490.00
11/1/1981,1690.00
12/1/1981,1390.00
1/1/1982,1060.00
2/1/1982,3870.00
3/1/1982,3150.00
4/1/1982,2170.00
5/1/1982,3520.00
6/1/1982,6330.00
7/1/1982,3820.00
8/1/1982,2830.00
9/1/1982,2930.00
10/1/1982,2060.00
11/1/1982,2290.00
12/1/1982,5070.00
1/1/1983,2210.00
2/1/1983,2570.00
3/1/1983,3370.00
4/1/1983,6610.00
5/1/1983,5780.00
6/1/1983,4420.00
7/1/1983,3100.00
8/1/1983,1800.00
9/1/1983,1610.00
10/1/1983,1740.00
11/1/1983,2920.00
12/1/1983,2380.00
1/1/1984,1430.00
2/1/1984,2630.00
3/1/1984,4800.00
4/1/1984,7030.00
5/1/1984,5820.00
6/1/1984,5850.00
7/1/1984,4650.00
8/1/1984,2040.00
9/1/1984,1910.00
10/1/1984,2210.00
11/1/1984,3150.00
12/1/1984,2430.00
1/1/1985,2740.00
2/1/1985,3520.00
3/1/1985,4860.00
4/1/1985,3480.00
5/1/1985,3010.00
6/1/1985,4320.00
7/1/1985,2030.00
8/1/1985,2320.00
9/1/1985,1940.00
10/1/1985,4420.00
11/1/1985,4330.00
12/1/1985,3290.00
1/1/1986,1730.00
2/1/1986,2590.00
3/1/1986,2520.00
4/1/1986,3040.00
5/1/1986,4400.00
6/1/1986,2830.00
7/1/1986,3750.00
8/1/1986,2150.00
9/1/1986,3030.00
10/1/1986,8120.00
11/1/1986,4240.00
12/1/1986,3770.00
1/1/1987,2020.00
2/1/1987,2270.00
3/1/1987,4160.00
4/1/1987,5040.00
5/1/1987,3500.00
6/1/1987,3000.00
7/1/1987,2810.00
8/1/1987,2190.00
9/1/1987,2040.00
10/1/1987,1520.00
11/1/1987,1810.00
12/1/1987,2800.00
1/1/1988,1910.00
2/1/1988,2140.00
3/1/1988,2390.00
4/1/1988,3000.00
5/1/1988,1830.00
6/1/1988,1310.00
7/1/1988,1250.00
8/1/1988,1210.00
9/1/1988,1280.00
10/1/1988,1320.00
11/1/1988,1340.00
12/1/1988,1050.00
1/1/1989,1040.00
2/1/1989,1110.00
3/1/1989,1500.00
4/1/1989,1630.00
5/1/1989,1350.00
6/1/1989,1610.00
7/1/1989,1380.00
8/1/1989,1600.00
9/1/1989,2750.00
10/1/1989,1270.00
11/1/1989,970.00
12/1/1989,616.00
1/1/1990,878.00
2/1/1990,1380.00
3/1/1990,2700.00
4/1/1990,2550.00
5/1/1990,5200.00
6/1/1990,5200.00
7/1/1990,2540.00
8/1/1990,2120.00
9/1/1990,1290.00
10/1/1990,1290.00
11/1/1990,833.00
12/1/1990,877.00
1/1/1991,1390.00
2/1/1991,1390.00
3/1/1991,1200.00
4/1/1991,2290.00
5/1/1991,3280.00
6/1/1991,2620.00
7/1/1991,1500.00
8/1/1991,1120.00
9/1/1991,1150.00
10/1/1991,1160.00
11/1/1991,995.00
12/1/1991,1270.00
1/1/1992,1110.00
2/1/1992,1440.00
3/1/1992,1780.00
4/1/1992,2830.00
5/1/1992,1760.00
6/1/1992,1690.00
7/1/1992,3370.00
8/1/1992,3090.00
9/1/1992,2290.00
10/1/1992,1730.00
11/1/1992,3350.00
12/1/1992,4130.00
1/1/1993,3060.00
2/1/1993,2740.00
3/1/1993,4220.00
4/1/1993,5600.00
5/1/1993,5520.00
6/1/1993,4980.00
7/1/1993,10700.00
8/1/1993,8680.00
9/1/1993,6900.00
10/1/1993,4790.00
11/1/1993,3620.00
12/1/1993,2590.00
1/1/1994,1770.00
2/1/1994,2460.00
3/1/1994,3030.00
4/1/1994,4900.00
5/1/1994,4930.00
6/1/1994,3600.00
7/1/1994,2430.00
8/1/1994,1620.00
9/1/1994,1590.00
10/1/1994,1390.00
11/1/1994,2330.00
12/1/1994,1810.00
1/1/1995,1920.00
2/1/1995,1880.00
3/1/1995,1810.00
4/1/1995,3100.00
5/1/1995,8860.00
6/1/1995,7990.00
7/1/1995,5040.00
8/1/1995,3370.00
9/1/1995,2350.00
10/1/1995,2240.00
11/1/1995,2410.00
12/1/1995,1650.00
1/1/1996,1260.00
2/1/1996,1500.00
3/1/1996,1660.00
4/1/1996,2340.00
5/1/1996,5510.00
6/1/1996,5650.00
7/1/1996,3750.00
8/1/1996,3130.00
9/1/1996,2610.00
10/1/1996,2750.00
11/1/1996,3840.00
12/1/1996,2840.00
1/1/1997,1740.00
2/1/1997,3580.00
3/1/1997,4150.00
4/1/1997,5490.00
5/1/1997,4380.00
6/1/1997,4410.00
7/1/1997,3050.00
8/1/1997,2560.00
9/1/1997,2590.00
10/1/1997,2660.00
11/1/1997,2720.00
12/1/1997,2920.00
1/1/1998,2540.00
2/1/1998,2590.00
3/1/1998,4200.00
4/1/1998,5360.00
5/1/1998,3140.00
6/1/1998,4480.00
7/1/1998,3710.00
8/1/1998,2850.00
9/1/1998,2580.00
10/1/1998,4900.00
11/1/1998,4950.00
12/1/1998,3020.00
1/1/1999,2180.00
2/1/1999,3510.00
3/1/1999,3030.00
4/1/1999,4880.00
5/1/1999,6240.00
6/1/1999,4890.00
7/1/1999,4170.00
8/1/1999,2380.00
9/1/1999,1970.00
10/1/1999,1890.00
11/1/1999,1810.00
