Month2,Average Flow (m3/s)
10/1/1969,878.00
11/1/1969,474.00
12/1/1969,537.00
1/1/1970,816.00
2/1/1970,480.00
3/1/1970,1080.00
4/1/1970,2240.00
5/1/1970,2830.00
6/1/1970,1410.00
7/1/1970,480.00
8/1/1970,235.00
9/1/1970,484.00
10/1/1970,1500.00
11/1/1970,1200.00
12/1/1970,382.00
1/1/1971,1080.00
2/1/1971,964.00
3/1/1971,876.00
4/1/1971,316.00
5/1/1971,575.00
6/1/1971,726.00
7/1/1971,544.00
8/1/1971,431.00
9/1/1971,525.00
10/1/1971,658.00
11/1/1971,453.00
12/1/1971,2910.00
1/1/1972,1130.00
2/1/1972,484.00
3/1/1972,283.00
4/1/1972,608.00
5/1/1972,674.00
6/1/1972,174.00
7/1/1972,380.00
8/1/1972,243.00
9/1/1972,228.00
10/1/1972,330.00
11/1/1972,2870.00
12/1/1972,1360.00
1/1/1973,2520.00
2/1/1973,2590.00
3/1/1973,4700.00
4/1/1973,6110.00
5/1/1973,5100.00
6/1/1973,3080.00
7/1/1973,779.00
8/1/1973,388.00
9/1/1973,476.00
10/1/1973,2410.00
11/1/1973,2860.00
12/1/1973,4220.00
1/1/1974,1930.00
2/1/1974,1340.00
3/1/1974,3130.00
4/1/1974,1710.00
5/1/1974,2010.00
6/1/1974,3910.00
7/1/1974,814.00
8/1/1974,377.00
9/1/1974,1400.00
10/1/1974,581.00
11/1/1974,4980.00
12/1/1974,2310.00
1/1/1975,1760.00
2/1/1975,3060.00
3/1/1975,4000.00
4/1/1975,2660.00
5/1/1975,2220.00
6/1/1975,3100.00
7/1/1975,840.00
8/1/1975,468.00
9/1/1975,455.00
10/1/1975,256.00
11/1/1975,247.00
12/1/1975,539.00
1/1/1976,485.00
2/1/1976,338.00
3/1/1976,844.00
4/1/1976,1190.00
5/1/1976,1390.00
6/1/1976,960.00
7/1/1976,1760.00
8/1/1976,318.00
9/1/1976,171.00
10/1/1976,189.00
11/1/1976,154.00
12/1/1976,217.00
1/1/1977,300.00
2/1/1977,324.00
3/1/1977,1210.00
4/1/1977,839.00
5/1/1977,523.00
6/1/1977,1180.00
7/1/1977,1320.00
8/1/1977,468.00
9/1/1977,958.00
10/1/1977,542.00
11/1/1977,1220.00
12/1/1977,491.00
1/1/1978,489.00
2/1/1978,777.00
3/1/1978,1940.00
4/1/1978,1970.00
5/1/1978,2050.00
6/1/1978,1420.00
7/1/1978,440.00
8/1/1978,187.00
9/1/1978,181.00
10/1/1978,41.50
11/1/1978,236.00
12/1/1978,422.00
1/1/1979,670.00
2/1/1979,904.00
3/1/1979,2140.00
4/1/1979,2670.00
5/1/1979,2290.00
6/1/1979,2210.00
7/1/1979,1110.00
8/1/1979,549.00
9/1/1979,306.00
10/1/1979,121.00
11/1/1979,672.00
12/1/1979,769.00
1/1/1980,423.00
2/1/1980,565.00
3/1/1980,728.00
4/1/1980,1620.00
5/1/1980,1460.00
6/1/1980,940.00
7/1/1980,375.00
8/1/1980,157.00
9/1/1980,139.00
10/1/1980,74.90
11/1/1980,74.00
12/1/1980,178.00
1/1/1981,40.70
2/1/1981,264.00
3/1/1981,490.00
4/1/1981,226.00
5/1/1981,631.00
6/1/1981,1190.00
7/1/1981,496.00
8/1/1981,472.00
9/1/1981,242.00
10/1/1981,546.00
11/1/1981,1240.00
12/1/1981,564.00
1/1/1982,597.00
2/1/1982,2190.00
3/1/1982,1430.00
4/1/1982,576.00
5/1/1982,1970.00
6/1/1982,4050.00
7/1/1982,1530.00
8/1/1982,487.00
9/1/1982,117.00
10/1/1982,54.40
11/1/1982,254.00
12/1/1982,2400.00
1/1/1983,839.00
2/1/1983,1670.00
3/1/1983,1280.00
4/1/1983,3050.00
5/1/1983,3810.00
6/1/1983,1490.00
7/1/1983,823.00
8/1/1983,263.00
9/1/1983,89.80
10/1/1983,387.00
11/1/1983,756.00
12/1/1983,785.00
1/1/1984,255.00
2/1/1984,786.00
3/1/1984,2630.00
4/1/1984,4060.00
5/1/1984,2120.00
6/1/1984,1020.00
7/1/1984,280.00
8/1/1984,177.00
9/1/1984,130.00
10/1/1984,1570.00
11/1/1984,2030.00
12/1/1984,2320.00
1/1/1985,3070.00
2/1/1985,1930.00
3/1/1985,4200.00
4/1/1985,3390.00
5/1/1985,2530.00
6/1/1985,2090.00
7/1/1985,739.00
8/1/1985,460.00
9/1/1985,508.00
10/1/1985,1760.00
11/1/1985,2990.00
12/1/1985,3430.00
1/1/1986,763.00
2/1/1986,1200.00
3/1/1986,820.00
4/1/1986,2430.00
5/1/1986,2170.00
6/1/1986,1890.00
7/1/1986,613.00
8/1/1986,315.00
9/1/1986,416.00
10/1/1986,6090.00
11/1/1986,2780.00
12/1/1986,1610.00
1/1/1987,1460.00
2/1/1987,2300.00
3/1/1987,4800.00
4/1/1987,2020.00
5/1/1987,933.00
6/1/1987,2360.00
7/1/1987,1070.00
8/1/1987,297.00
9/1/1987,326.00
10/1/1987,318.00
11/1/1987,733.00
12/1/1987,2830.00
1/1/1988,3310.00
2/1/1988,1320.00
3/1/1988,2740.00
4/1/1988,4200.00
5/1/1988,792.00
6/1/1988,141.00
7/1/1988,160.00
8/1/1988,143.00
9/1/1988,190.00
10/1/1988,136.00
11/1/1988,651.00
12/1/1988,506.00
1/1/1989,894.00
2/1/1989,2770.00
3/1/1989,2030.00
4/1/1989,1230.00
5/1/1989,1310.00
6/1/1989,2610.00
7/1/1989,1130.00
8/1/1989,651.00
9/1/1989,1460.00
10/1/1989,461.00
11/1/1989,292.00
12/1/1989,105.00
1/1/1990,847.00
2/1/1990,2240.00
3/1/1990,4530.00
4/1/1990,4970.00
5/1/1990,6650.00
6/1/1990,2850.00
7/1/1990,514.00
8/1/1990,245.00
9/1/1990,245.00
10/1/1990,264.00
11/1/1990,231.00
12/1/1990,847.00
1/1/1991,1950.00
2/1/1991,550.00
3/1/1991,615.00
4/1/1991,1730.00
5/1/1991,1370.00
6/1/1991,758.00
7/1/1991,140.00
8/1/1991,117.00
9/1/1991,143.00
10/1/1991,548.00
11/1/1991,2010.00
12/1/1991,2620.00
1/1/1992,1400.00
2/1/1992,801.00
3/1/1992,983.00
4/1/1992,898.00
5/1/1992,903.00
6/1/1992,2540.00
7/1/1992,1740.00
8/1/1992,1780.00
9/1/1992,1050.00
10/1/1992,240.00
11/1/1992,1740.00
12/1/1992,4400.00
1/1/1993,4030.00
2/1/1993,2750.00
3/1/1993,2800.00
4/1/1993,3190.00
5/1/1993,5260.00
6/1/1993,4100.00
7/1/1993,1900.00
8/1/1993,1080.00
9/1/1993,1380.00
10/1/1993,1490.00
11/1/1993,1210.00
12/1/1993,1410.00
1/1/1994,918.00
2/1/1994,1370.00
3/1/1994,2690.00
4/1/1994,2630.00
5/1/1994,3360.00
6/1/1994,522.00
7/1/1994,501.00
8/1/1994,319.00
9/1/1994,199.00
10/1/1994,154.00
11/1/1994,2760.00
12/1/1994,1950.00
1/1/1995,1650.00
2/1/1995,800.00
3/1/1995,1710.00
4/1/1995,1760.00
5/1/1995,4610.00
6/1/1995,5420.00
7/1/1995,3300.00
8/1/1995,1460.00
9/1/1995,282.00
10/1/1995,204.00
11/1/1995,95.20
12/1/1995,213.00
1/1/1996,533.00
2/1/1996,277.00
3/1/1996,304.00
4/1/1996,1110.00
5/1/1996,861.00
6/1/1996,644.00
7/1/1996,389.00
8/1/1996,546.00
9/1/1996,674.00
10/1/1996,929.00
11/1/1996,3460.00
12/1/1996,2670.00
1/1/1997,633.00
2/1/1997,1970.00
3/1/1997,3120.00
