Month2,Average Flow (m3/s)
10/1/1977,951.00
11/1/1977,932.00
12/1/1977,447.00
1/1/1978,448.00
2/1/1978,512.00
3/1/1978,962.00
4/1/1978,1030.00
5/1/1978,978.00
6/1/1978,1260.00
7/1/1978,1520.00
8/1/1978,1600.00
9/1/1978,1650.00
10/1/1978,1610.00
11/1/1978,1610.00
12/1/1978,895.00
1/1/1979,619.00
2/1/1979,710.00
3/1/1979,1170.00
4/1/1979,1330.00
5/1/1979,1440.00
6/1/1979,1390.00
7/1/1979,1200.00
8/1/1979,1240.00
9/1/1979,1210.00
10/1/1979,1190.00
11/1/1979,1320.00
12/1/1979,922.00
1/1/1980,705.00
2/1/1980,638.00
3/1/1980,731.00
4/1/1980,1000.00
5/1/1980,983.00
6/1/1980,1040.00
7/1/1980,1030.00
8/1/1980,1070.00
9/1/1980,1060.00
10/1/1980,1100.00
11/1/1980,1080.00
12/1/1980,539.00
1/1/1981,465.00
2/1/1981,479.00
3/1/1981,651.00
4/1/1981,1010.00
5/1/1981,1010.00
6/1/1981,1010.00
7/1/1981,1020.00
8/1/1981,981.00
9/1/1981,1000.00
10/1/1981,1010.00
11/1/1981,684.00
12/1/1981,473.00
1/1/1982,425.00
2/1/1982,612.00
3/1/1982,735.00
4/1/1982,1010.00
5/1/1982,1080.00
6/1/1982,1020.00
7/1/1982,1160.00
8/1/1982,1010.00
9/1/1982,1070.00
10/1/1982,1270.00
11/1/1982,1480.00
12/1/1982,1130.00
1/1/1983,891.00
2/1/1983,1040.00
3/1/1983,1530.00
4/1/1983,1520.00
5/1/1983,1290.00
6/1/1983,1440.00
7/1/1983,1390.00
8/1/1983,1220.00
9/1/1983,1170.00
10/1/1983,1190.00
11/1/1983,1230.00
12/1/1983,730.00
1/1/1984,709.00
2/1/1984,870.00
3/1/1984,1050.00
4/1/1984,1720.00
5/1/1984,1410.00
6/1/1984,2140.00
7/1/1984,1640.00
8/1/1984,1540.00
9/1/1984,1450.00
10/1/1984,1490.00
11/1/1984,1550.00
12/1/1984,994.00
1/1/1985,731.00
2/1/1985,758.00
3/1/1985,1010.00
4/1/1985,1190.00
5/1/1985,1170.00
6/1/1985,1100.00
7/1/1985,1040.00
8/1/1985,990.00
9/1/1985,1050.00
10/1/1985,1020.00
11/1/1985,993.00
12/1/1985,715.00
1/1/1986,581.00
2/1/1986,620.00
3/1/1986,1130.00
4/1/1986,1420.00
5/1/1986,1710.00
6/1/1986,1510.00
7/1/1986,1350.00
8/1/1986,1240.00
9/1/1986,1430.00
10/1/1986,1570.00
11/1/1986,1520.00
12/1/1986,1210.00
1/1/1987,942.00
2/1/1987,799.00
3/1/1987,1000.00
4/1/1987,1370.00
5/1/1987,1110.00
6/1/1987,1040.00
7/1/1987,1130.00
8/1/1987,1070.00
9/1/1987,1030.00
10/1/1987,1000.00
11/1/1987,1050.00
12/1/1987,630.00
1/1/1988,577.00
2/1/1988,641.00
3/1/1988,842.00
4/1/1988,994.00
5/1/1988,1010.00
6/1/1988,977.00
7/1/1988,968.00
8/1/1988,967.00
9/1/1988,1060.00
10/1/1988,996.00
11/1/1988,723.00
12/1/1988,441.00
1/1/1989,441.00
2/1/1989,478.00
3/1/1989,528.00
4/1/1989,934.00
5/1/1989,968.00
6/1/1989,950.00
7/1/1989,932.00
8/1/1989,961.00
9/1/1989,904.00
10/1/1989,875.00
11/1/1989,385.00
12/1/1989,378.00
1/1/1990,411.00
2/1/1990,420.00
3/1/1990,400.00
4/1/1990,768.00
5/1/1990,908.00
6/1/1990,1080.00
