MonYear,Value
1/1/1978,1.85
2/1/1978,0.67
3/1/1978,2.01
4/1/1978,3.37
5/1/1978,4.13
6/1/1978,3.55
7/1/1978,4.99
8/1/1978,4.23
9/1/1978,3.39
10/1/1978,1.89
11/1/1978,2.87
12/1/1978,2.86
1/1/1979,2.57
2/1/1979,1.77
3/1/1979,3.34
4/1/1979,3.83
5/1/1979,3.44
6/1/1979,4.06
7/1/1979,4.74
8/1/1979,4.87
9/1/1979,2.1
10/1/1979,3.01
11/1/1979,3.01
12/1/1979,1.55
1/1/1980,1.4
2/1/1980,1.02
3/1/1980,2.55
4/1/1980,2.08
5/1/1980,2.66
6/1/1980,4.04
7/1/1980,3.3
8/1/1980,5.51
9/1/1980,3.79
10/1/1980,2.21
11/1/1980,1.25
12/1/1980,1.4
1/1/1981,0.41
2/1/1981,2.22
3/1/1981,1.27
4/1/1981,4.05
5/1/1981,4.37
6/1/1981,5.59
7/1/1981,4.72
8/1/1981,4.14
9/1/1981,2.81
10/1/1981,3.28
11/1/1981,1.71
12/1/1981,1.69
1/1/1982,3.24
2/1/1982,1.09
3/1/1982,2.88
4/1/1982,2.49
5/1/1982,4.69
6/1/1982,3.61
7/1/1982,4.53
8/1/1982,4.13
9/1/1982,3.19
10/1/1982,2.77
11/1/1982,3.64
12/1/1982,4.42
1/1/1983,0.97
2/1/1983,1.04
3/1/1983,2.53
4/1/1983,4.28
5/1/1983,5.19
6/1/1983,3.66
7/1/1983,2.8
8/1/1983,2.87
9/1/1983,3.11
10/1/1983,4.24
11/1/1983,4.51
12/1/1983,2.42
1/1/1984,0.76
2/1/1984,1.73
3/1/1984,2.87
4/1/1984,4.19
5/1/1984,4.16
6/1/1984,4.13
7/1/1984,3.17
8/1/1984,2.35
9/1/1984,3.53
10/1/1984,4.87
11/1/1984,3.1
12/1/1984,3.11
1/1/1985,1.44
2/1/1985,2.24
3/1/1985,3.57
4/1/1985,2.55
5/1/1985,3.85
6/1/1985,3.92
7/1/1985,3.2
8/1/1985,4.95
9/1/1985,3.6
