Month2,Average Flow (m3/s)
10/1/1972,124.00
11/1/1972,1420.00
12/1/1972,1010.00
1/1/1973,1070.00
2/1/1973,1530.00
3/1/1973,2520.00
4/1/1973,2740.00
5/1/1973,2960.00
6/1/1973,1920.00
7/1/1973,579.00
8/1/1973,253.00
9/1/1973,607.00
10/1/1973,1180.00
11/1/1973,1570.00
12/1/1973,2840.00
1/1/1974,2340.00
2/1/1974,1560.00
3/1/1974,969.00
4/1/1974,951.00
5/1/1974,1370.00
6/1/1974,1860.00
7/1/1974,485.00
8/1/1974,256.00
9/1/1974,1440.00
10/1/1974,1260.00
11/1/1974,2780.00
12/1/1974,2400.00
1/1/1975,1530.00
2/1/1975,2610.00
3/1/1975,2210.00
4/1/1975,1880.00
5/1/1975,2430.00
6/1/1975,2360.00
7/1/1975,755.00
8/1/1975,559.00
9/1/1975,296.00
10/1/1975,257.00
11/1/1975,201.00
12/1/1975,248.00
1/1/1976,348.00
2/1/1976,333.00
3/1/1976,1000.00
4/1/1976,605.00
5/1/1976,871.00
6/1/1976,744.00
7/1/1976,707.00
8/1/1976,269.00
9/1/1976,182.00
10/1/1976,213.00
11/1/1976,231.00
12/1/1976,469.00
1/1/1977,579.00
2/1/1977,1000.00
3/1/1977,1360.00
4/1/1977,2190.00
5/1/1977,699.00
6/1/1977,606.00
7/1/1977,193.00
8/1/1977,204.00
9/1/1977,188.00
10/1/1977,134.00
11/1/1977,212.00
12/1/1977,251.00
1/1/1978,369.00
2/1/1978,594.00
3/1/1978,692.00
4/1/1978,610.00
5/1/1978,686.00
6/1/1978,536.00
7/1/1978,200.00
8/1/1978,120.00
9/1/1978,143.00
10/1/1978,91.70
11/1/1978,272.00
12/1/1978,412.00
1/1/1979,1460.00
2/1/1979,1530.00
3/1/1979,1740.00
4/1/1979,2430.00
5/1/1979,1670.00
6/1/1979,1760.00
7/1/1979,318.00
8/1/1979,419.00
9/1/1979,256.00
10/1/1979,306.00
11/1/1979,311.00
12/1/1979,436.00
1/1/1980,909.00
2/1/1980,1350.00
3/1/1980,677.00
4/1/1980,1390.00
5/1/1980,1060.00
6/1/1980,800.00
7/1/1980,247.00
8/1/1980,149.00
9/1/1980,192.00
10/1/1980,350.00
11/1/1980,263.00
12/1/1980,352.00
1/1/1981,151.00
2/1/1981,282.00
3/1/1981,467.00
4/1/1981,215.00
5/1/1981,583.00
6/1/1981,1840.00
