Month2,Average Flow (m3/s)
10/1/1972,6020.00
11/1/1972,9350.00
12/1/1972,5350.00
1/1/1973,9440.00
2/1/1973,9480.00
3/1/1973,15300.00
4/1/1973,20700.00
5/1/1973,18600.00
6/1/1973,12100.00
7/1/1973,6680.00
8/1/1973,5040.00
9/1/1973,4350.00
10/1/1973,10300.00
11/1/1973,6710.00
12/1/1973,8130.00
1/1/1974,8280.00
2/1/1974,9920.00
3/1/1974,10500.00
4/1/1974,9150.00
5/1/1974,11300.00
6/1/1974,13500.00
7/1/1974,7190.00
8/1/1974,3940.00
9/1/1974,3520.00
10/1/1974,2780.00
11/1/1974,4970.00
12/1/1974,3740.00
1/1/1975,4650.00
2/1/1975,6770.00
3/1/1975,8640.00
4/1/1975,10200.00
5/1/1975,11200.00
6/1/1975,7780.00
7/1/1975,6680.00
8/1/1975,3900.00
9/1/1975,4850.00
10/1/1975,3570.00
11/1/1975,3990.00
12/1/1975,4810.00
1/1/1976,3050.00
2/1/1976,4040.00
3/1/1976,8220.00
4/1/1976,8320.00
5/1/1976,8290.00
6/1/1976,4380.00
7/1/1976,3340.00
8/1/1976,2530.00
9/1/1976,1930.00
10/1/1976,2110.00
11/1/1976,2150.00
12/1/1976,1820.00
1/1/1977,1460.00
2/1/1977,2050.00
3/1/1977,4040.00
4/1/1977,4320.00
5/1/1977,3710.00
6/1/1977,3340.00
7/1/1977,3870.00
8/1/1977,3490.00
9/1/1977,6240.00
10/1/1977,6350.00
11/1/1977,7180.00
12/1/1977,4610.00
1/1/1978,3410.00
2/1/1978,2430.00
3/1/1978,9340.00
4/1/1978,13200.00
5/1/1978,10600.00
6/1/1978,6350.00
7/1/1978,8140.00
8/1/1978,4930.00
9/1/1978,5400.00
10/1/1978,4100.00
11/1/1978,3940.00
12/1/1978,3290.00
1/1/1979,2330.00
2/1/1979,3780.00
3/1/1979,12600.00
4/1/1979,17800.00
5/1/1979,12400.00
6/1/1979,6920.00
7/1/1979,6060.00
8/1/1979,5540.00
9/1/1979,5170.00
10/1/1979,2930.00
11/1/1979,4420.00
12/1/1979,3890.00
1/1/1980,3220.00
2/1/1980,3070.00
3/1/1980,5210.00
4/1/1980,8730.00
5/1/1980,4020.00
6/1/1980,7020.00
7/1/1980,3330.00
8/1/1980,3740.00
9/1/1980,5120.00
10/1/1980,3860.00
11/1/1980,3160.00
12/1/1980,3130.00
1/1/1981,2040.00
2/1/1981,2460.00
3/1/1981,3570.00
4/1/1981,5190.00
5/1/1981,8020.00
6/1/1981,7830.00
7/1/1981,10200.00
8/1/1981,7620.00
9/1/1981,4850.00
10/1/1981,4370.00
11/1/1981,4630.00
12/1/1981,3720.00
1/1/1982,3250.00
2/1/1982,9280.00
3/1/1982,11000.00
4/1/1982,10700.00
5/1/1982,9840.00
6/1/1982,12900.00
7/1/1982,9650.00
8/1/1982,5890.00
9/1/1982,5950.00
10/1/1982,4840.00
11/1/1982,6610.00
12/1/1982,15100.00
1/1/1983,7460.00
2/1/1983,6240.00
3/1/1983,9630.00
4/1/1983,17400.00
5/1/1983,16200.00
6/1/1983,9620.00
7/1/1983,8020.00
8/1/1983,4310.00
9/1/1983,3550.00
10/1/1983,4170.00
11/1/1983,6240.00
12/1/1983,7730.00
1/1/1984,4100.00
2/1/1984,7070.00
3/1/1984,11900.00
4/1/1984,14700.00
5/1/1984,13800.00
6/1/1984,12400.00
7/1/1984,11000.00
8/1/1984,4580.00
9/1/1984,3630.00
10/1/1984,4830.00
11/1/1984,8160.00
12/1/1984,6140.00
1/1/1985,7310.00
2/1/1985,6290.00
3/1/1985,15300.00
4/1/1985,11700.00
5/1/1985,7960.00
6/1/1985,8100.00
7/1/1985,4490.00
8/1/1985,4440.00
9/1/1985,4160.00
10/1/1985,8040.00
11/1/1985,11000.00
12/1/1985,9320.00
1/1/1986,4840.00
2/1/1986,7000.00
3/1/1986,7930.00
4/1/1986,9710.00
5/1/1986,11000.00
6/1/1986,8980.00
7/1/1986,8980.00
8/1/1986,5580.00
9/1/1986,6270.00
10/1/1986,16700.00
11/1/1986,9800.00
12/1/1986,8150.00
1/1/1987,4530.00
2/1/1987,5030.00
3/1/1987,7030.00
4/1/1987,9560.00
5/1/1987,5980.00
6/1/1987,5550.00
7/1/1987,4800.00
8/1/1987,4210.00
9/1/1987,4520.00
10/1/1987,2980.00
11/1/1987,3310.00
12/1/1987,6680.00
1/1/1988,5360.00
2/1/1988,5980.00
3/1/1988,5980.00
4/1/1988,7550.00
5/1/1988,3970.00
6/1/1988,2370.00
7/1/1988,2080.00
8/1/1988,2030.00
9/1/1988,2150.00
10/1/1988,2180.00
11/1/1988,2900.00
12/1/1988,2490.00
1/1/1989,2890.00
2/1/1989,2630.00
3/1/1989,4060.00
4/1/1989,5860.00
5/1/1989,3810.00
6/1/1989,4320.00
7/1/1989,2640.00
8/1/1989,2490.00
9/1/1989,5040.00
10/1/1989,2360.00
11/1/1989,2120.00
12/1/1989,1590.00
1/1/1990,2030.00
2/1/1990,3430.00
3/1/1990,7190.00
4/1/1990,5620.00
5/1/1990,11600.00
6/1/1990,12400.00
7/1/1990,8860.00
8/1/1990,6450.00
9/1/1990,4520.00
10/1/1990,3310.00
11/1/1990,3180.00
12/1/1990,4490.00
1/1/1991,5610.00
2/1/1991,5150.00
3/1/1991,6270.00
4/1/1991,9950.00
